web-scraper-order,Judul_publikasi
1702624902-1,THE EXPRESSIONS OF EXCLAMATION: A CROSS-CULTURAL ANALYSIS IN AUSTRALIAN ENGLISH AND BAHASA INDONESIA
1702624902-2,SCHEMA THEORY IN READING CLASS
1702624902-3,AN INVESTIGATION OF INDONESIAN STUDENTS’ ABILITY IN PRODUCING THE THIRD PERSON SINGULAR /S/ IN SPEAKING
1702624902-4,UNDERSTANDING AND REFLECTION OF ISSUES IN LANGUAGE EDUCATION RESEARCH
1702624902-5,TEACHING WRITING THROUGHT DICTOGLOSS
1702624902-6,A STUDY OF ERRORS IN THE THIRD SINGULAR PRONOUNS OF SIMPLE PRESENT TENSE BY USING INTERLANGUAGE ANALYSIS AS AN APPROACH. A CASE STUDY
1702624902-7,CONSIDERABLE STRATEGIES OF TEACHING LARGE MULTI-LEVEL CLASSES: A NARRATIVE STUDY OF WHAT EFL TEACHERS SHOULD DO
1702624914-8,THE ROLE OF TECHNOLOGY IN EFL CLASSROOM
1702624914-9,TEACHERS’ VOICES ON THE 2013 CURRICULUM  FOR ENGLISH INSTRUCTIONAL ACTIVITIES
1702624914-10,RELATING EFL LEARNERS’ GRAMMAR KNOWLEDGE TO THEIR USE OF PRAGMATIC EXPRESSIONS
1702624914-11,ERROR ANALYSIS ON INFORMATION AND TECHNOLOGY STUDENTS’ SENTENCE WRITING ASSIGNMENTS
1702624914-12,REGISTER ANALYSIS OF THE CONVERSATIONS  AMONG PETROLEUM ENGINEERS
1702624914-13,MEASURING ACCURACY AND COMPLEXITY OF AN L2 LEARNER’S ORAL PRODUCTION
1702624914-14,DEVELOPING ASSESSMENT FOR SPEAKING
1702624924-15,The Representation of Culture in English Textbooks Prescribed  for High Schools in Indonesia
1702624924-16,The Effect of Collaborative Strategic Reading on Grade Six Students’ Reading Achievement
1702624924-17,Designing Reading Materials for the Faculty of Social and Political Sciences at UIN Syarif Hidayatullah Jakarta
1702624924-18,The Role of Camp in Promoting the Participants’ Spoken English Expression
1702624924-19,An Investigation of the Practice of Effective Teaching Strategies in Three Islamic Senior High Schools in South Jakarta
1702624924-20,Understanding Discourse Competence in Translation
1702624924-21,Learners' Language Needs Analysis of English Subject in Azkia Integrated Islamic Primary School
1702624934-24,The Effectiveness of Mindmapping in Improving Students’ Writing Skill Viewed from Their IQ
1702624934-25,A Learner’s Self-Regulated Learning in Writing
1702624934-26,An Oral Discourse Perspective on Second Language Learning
1702624934-27,An Investigation of Cohesion and Rhetorical Moves in Thesis Abstracts
1702624934-28,The Effects of Mind Mapping (MP) and Pre-Questioning (PQ) on the Students’ Reading Comprehension
1702624934-29,Reviewing the Curriculum of an English Department of A Private University in Indonesia
1702624934-30,A Study of Avoidance Strategy of Face Threat of Native Speaker and Non-Native Speaker  by Using Goffman’s Face-Work Theory
1702624937-31,THE EFFECTIVENESS OF DIALOGUE JOURNALS IN IMPROVING  THE SKILL IN WRITING NARRATIVE TEXTS
1702624937-32,A Comparative Study: Australian English and Indonesian Complimenting Behaviours
1702624937-33,The Effect of Group Investigation and Learning Style on Students’ Writing of Analytical Exposition
1702624937-34,Indonesian or English?  EFL Student Teachers’ Preference and Perception on the Language Use in the Classroom
1702624937-35,EFL Student Teachers’ Speaking Anxiety: the Case in One English Teacher Education Program
1702624937-36,The Use of Songs in Increasing Students’ Understanding of Figurative Language
1702624937-37,Project-Based Learning in Indonesian EFL Classrooms: from Theory to Practice
1702624937-38,PROJECT-BASED LEARNING IN INDONESIAN EFL CLASSROOMS: FROM THEORY TO PRACTICE
1702624940-39,The Non Standard English Used by Women in the Help Movie
1702624940-40,Utilizing Cooperative Learning in Islamic College Students’ Classroom
1702624940-41,The Application of Language Learning Strategies of High School Students In Indonesia
1702624940-42,Addressing 21st Century Communication Skills: Some Emerging Issues from Eil Pedagogy & Intercultural Communicative Competence
1702624940-43,The Voices of Preservice EFL Teachers on the Implementation of Teacher Educators‘
1702624940-44,A Voluntary Reading Program (VRP) to Stimulate EFL Reading Interest
1702624940-45,EFL Students’ Performance and Expectation Towards Peer Response in Writing Classroom
1702624942-46,The Influence of Prior Knowledge on Students’ Listening and Reading Comprehension
1702624942-47,The Effect of Blended Learning to the Students’ Achievement in Grammar Class
1702624942-48,Self and Group Initiated Professional Development Pursuits of EFL Teachers
1702624942-49,Teaching English in Non-English Departments: Empowering Teacher Towards Improvement
1702624942-50,Peer-Discussion in TOEFL Preparation Class
1702624942-51,Indonesian University Graduates’ English Competence for Facing the Asean Economic Community (AEC)
1702624942-52,READING STRATEGIES AS DEVELOPMENT MODEL ENGLISH COGNITION OF SENIOR HIGH SCHOOL STUDENTS
1702624942-53,LOST IN TRANSLATION AND THE CRUCIAL PROCESS OF CONVENTION
1702624945-54,Exploring Inductive Grammar Teaching: English Teacher Perspectives
1702624945-55,WHY STUDY ERROR?
1702624945-56,MORAL VALUES IN NARRATIVE TEXTS OF ENGLISH TEXTBOOKS FOR SENIOR HIGH SCHOOL STUDENTS PUBLISHED BY THE MINISTRY OF EDUCATION  AND CULTURE
1702624945-57,INTERACTION IN EFL WRITING CLASS: LECTURERS’ REFLECTION
1702624945-58,IMPROVING STUDENTS’ WRITING SKILLS OF RECOUNT TEXT BY APPLYING TRANSITION-ACTION-DETAILS (TAD) STRATEGY
1702624945-59,A MODEL OF AN ONLINE READING COMPREHENSION SUMMATIVE TEST FOR COLLEGE STUDENTS
1702624945-60,STATING AND DEFENDING NEW KNOWLEDGE CLAIM: A RHETORICAL ANALYSIS ON THE DISCUSSION SECTION OF ENGLISH MASTER THESIS BY INDONESIAN  EFL LEARNERS
1702624945-61,THE USE OF CONTENT-BASED SUMMARIZING TECHNIQUE IN IMPROVING STUDENTS’ READING SKILLS OF MADRASAH
1702624948-62,A BRIEF VIEW ON BILINGUAL SCHOOLS IN THE CAPITAL OF INDONESIA
1702624948-63,AN EVALUATION OF LANGUAGE LEARNING STRATEGIES USED BY ENGLISH STUDENTS
1702624948-64,POLITENESS: CULTURAL DIMENSIONS OF LINGUISTIC CHOICE
1702624948-65,MULTIMODAL ANALYSIS OF TV COMMERCIALS IN TEACHING ADVERTISEMENT: STIMULATING STUDENTS’ CRITICAL THINKING
1702624948-66,THE EFFECT OF HAMBURGER STRATEGY ON STUDENTS’ READING COMPREHENSION OF RECOUNT TEXTS
1702624948-67,USING THE THINK-PAIR-SHARE STRATEGY TO INCREASE STUDENTS’ ACTIVE INVOLVEMENT AND TO IMPROVE THEIR SPEAKING ABILITY
1702624948-68,INTERACTIVE METADISCOURSE AND INTERACTIONAL METADISCOURSE CATEGORIES OF STUDENTS’ INTERNATIONAL PROGRAM SCHOOL BASED ON GENDER
